time,grid,algorithm,program,dt,mean_elev__change,max_elev__change,local_elev__max_change,net_flux
100000,raster,fastscape,ttlem,100000,37.2604002210648,39.9999643144185,41.3970267247696,0.000372604002210651
200000,raster,fastscape,ttlem,100000,34.5857852527064,39.9995377832407,41.7220773169009,0.000345857852527059
300000,raster,fastscape,ttlem,100000,31.350099857808,39.9969414857333,42.0239812296305,0.000313500998578077
400000,raster,fastscape,ttlem,100000,27.7716260971939,39.9862038192464,42.7168986345199,0.000277716260971939
500000,raster,fastscape,ttlem,100000,24.0705240371577,39.9522728158111,42.0271997032342,0.000240705240371585
600000,raster,fastscape,ttlem,100000,20.4345462879757,39.8648761455372,41.9934882996477,0.000204345462879756
700000,raster,fastscape,ttlem,100000,17.0147831851853,39.6736834042493,41.6826606582395,0.000170147831851857
800000,raster,fastscape,ttlem,100000,13.9104853578583,39.3110470261224,40.382683676565,0.000139104853578592
900000,raster,fastscape,ttlem,100000,11.1830493211006,38.6969166923282,38.9664941870456,0.000111830493210982
1000000,raster,fastscape,ttlem,100000,8.85016775880274,37.823960655754,38.2145080000931,8.85016775880316e-05
1100000,raster,fastscape,ttlem,100000,6.90372653863221,36.6704706816911,36.6704706816911,6.90372653863331e-05
1200000,raster,fastscape,ttlem,100000,5.31695743280943,35.114999261277,35.114999261277,5.31695743280811e-05
1300000,raster,fastscape,ttlem,100000,4.04150333425258,33.2570399162088,33.2570399162088,4.04150333425422e-05
1400000,raster,fastscape,ttlem,100000,3.04010358785069,31.257304053293,31.257304053293,3.04010358785048e-05
1500000,raster,fastscape,ttlem,100000,2.26202534712451,29.0035224666764,29.0035224666764,2.26202534712482e-05
1600000,raster,fastscape,ttlem,100000,1.66716268782807,26.4884919699648,26.4884919699648,1.66716268782622e-05
1700000,raster,fastscape,ttlem,100000,1.21869811678516,18.3519092146545,23.1388643946733,1.21869811678582e-05
1800000,raster,fastscape,ttlem,100000,0.880546255842205,13.0107427042315,20.8554947963567,8.80546255842411e-06
1900000,raster,fastscape,ttlem,100000,0.631741691638979,16.595608602889,22.6663903619472,6.31741691640387e-06
2000000,raster,fastscape,ttlem,100000,0.449843201477051,11.5728162045725,23.572762434265,4.49843201475861e-06
2100000,raster,fastscape,ttlem,100000,0.316369450037598,9.26158513850544,19.7756995234161,3.16369450039444e-06
2200000,raster,fastscape,ttlem,100000,0.221833394696034,5.22544876725885,16.4348004302369,2.21833394693106e-06
2300000,raster,fastscape,ttlem,100000,0.152641795844602,2.05928294231524,18.9997640954983,1.52641795844747e-06
2400000,raster,fastscape,ttlem,100000,0.101430994811665,1.68980671874647,23.908361498483,1.01430994813196e-06
2500000,raster,fastscape,ttlem,100000,0.066202089594924,7.56707044889288,18.9522430912977,6.62020895951951e-07
2600000,raster,fastscape,ttlem,100000,0.0426101434512702,7.54404435050719,22.9475651907408,4.26101434493929e-07
2700000,raster,fastscape,ttlem,100000,0.0271340088933698,6.13955437460345,17.8827917992087,2.71340088933307e-07
2800000,raster,fastscape,ttlem,100000,0.0175067684780288,6.26501808472835,20.32912939274,1.75067684793521e-07
2900000,raster,fastscape,ttlem,100000,0.0113147462671463,1.20202163604756,16.7882721779831,1.13147462677516e-07
3000000,raster,fastscape,ttlem,100000,0.00508123083460532,4.05552536244909,33.4909621708851,5.08123083509292e-08
3100000,raster,fastscape,ttlem,100000,0.00114247114106547,4.37039896670865,19.1493746562649,1.14247114113464e-08
3200000,raster,fastscape,ttlem,100000,0.00155003021370703,0.483685229496473,19.8989679376061,1.55003021616851e-08
3300000,raster,fastscape,ttlem,100000,0.00448206388097105,2.24463725125327,26.351398287858,4.48206387915282e-08
3400000,raster,fastscape,ttlem,100000,0.00474497622451509,0.60755855162256,30.259413974969,4.74497622527706e-08
3500000,raster,fastscape,ttlem,100000,0.00646728618511361,0.517316014774792,27.1780332566498,6.46728618342874e-08
3600000,raster,fastscape,ttlem,100000,0.00635183464868305,0.456659503013498,23.5371501818626,6.35183465181097e-08
3700000,raster,fastscape,ttlem,100000,0.0067777078504605,0.416892723232991,20.8838089732329,6.77770784793884e-08
3800000,raster,fastscape,ttlem,100000,0.00687255376141138,0.388959894750087,20.4128308513621,6.87255376344762e-08
3900000,raster,fastscape,ttlem,100000,0.00581593521150126,0.365051231033135,18.3006502554134,5.81593520997464e-08
4000000,raster,fastscape,ttlem,100000,0.00626220899408736,0.339785934652355,19.3668107400842,6.2622089949394e-08
4100000,raster,fastscape,ttlem,100000,0.0064510037710761,0.331256176218517,28.0005282512009,6.45100377015544e-08
4200000,raster,fastscape,ttlem,100000,0.00672338418104346,0.336994133651729,26.806897082576,6.72338418191079e-08
4300000,raster,fastscape,ttlem,100000,0.0068883651454712,0.345691791969898,23.9246155014854,6.88836514448777e-08
4400000,raster,fastscape,ttlem,100000,0.00566933221290356,0.347799316039982,21.1646279566795,5.66933221438322e-08
4500000,raster,fastscape,ttlem,100000,0.00610898648596958,0.33888975182299,25.888335876115,6.10898648651074e-08
4600000,raster,fastscape,ttlem,100000,0.00640759316945605,0.318943199966952,29.0779093060153,6.40759316798975e-08
4700000,raster,fastscape,ttlem,100000,0.00693691758038995,0.290455737286834,28.2992791445939,6.93691758165881e-08
4800000,raster,fastscape,ttlem,100000,0.00633241067760082,0.256778673817962,20.9731980160012,6.3324106776424e-08
4900000,raster,fastscape,ttlem,100000,0.00508754414335044,0.221078539074256,18.0214526109525,5.08754414244339e-08
5000000,raster,fastscape,ttlem,100000,0.0049857626938774,0.18585314640336,22.0110741734605,4.98576269567797e-08
5100000,raster,fastscape,ttlem,100000,0.00399232904646851,0.152815249630521,24.402805357505,3.99232904368545e-08
5200000,raster,fastscape,ttlem,100000,0.00376539882188354,0.122971815467508,25.6981451331027,3.76539882261175e-08
5300000,raster,fastscape,ttlem,100000,0.00285596637058916,0.0967803678918244,21.5317053443995,2.85596637042304e-08
5400000,raster,fastscape,ttlem,100000,0.00351537414837821,0.0743135921519524,21.2634270888282,3.51537414848712e-08
5500000,raster,fastscape,ttlem,100000,0.0043821817407661,0.0553996297090862,18.5800814269559,4.38218174174007e-08
5600000,raster,fastscape,ttlem,100000,0.00513892532922,0.0397283063216491,19.0148872811173,5.13892532783671e-08
5700000,raster,fastscape,ttlem,100000,0.00502545835422552,0.0269249965112976,14.804864772512,5.02545835376013e-08
5800000,raster,fastscape,ttlem,100000,0.00514651915807463,0.0165976881854704,26.8991719514863,5.14651915740172e-08
5900000,raster,fastscape,ttlem,100000,0.00469844383559348,0.00836378879989752,23.0828417855016,4.69844383734231e-08
6000000,raster,fastscape,ttlem,100000,0.00352754285660239,0.00186406122190874,16.6010366320161,3.52754285591734e-08
6100000,raster,fastscape,ttlem,100000,0.00321680441976469,0.00322881761371718,19.5052604800524,3.2168044205138e-08
6200000,raster,fastscape,ttlem,100000,0.00345638737530862,0.00720201997353342,18.6657914877418,3.4563873760999e-08
6300000,raster,fastscape,ttlem,100000,0.00348193503896255,0.0102943959009281,20.1910954336061,3.48193503868395e-08
6400000,raster,fastscape,ttlem,100000,0.00287054620548588,0.0126922848728555,17.0829534650262,2.87054620441599e-08
