,time,grid,algorithm,program,dt,mean_elev__change,max_elev__change,local_elev__max_change,net_flux
0,100000,voronoi,fastscape,landlab,250,38.4566842308,40.00034178,43.4025600601,0.153826736923
1,200000,voronoi,fastscape,landlab,250,36.3589964322,40.000103923,42.176231661,0.145435985729
2,300000,voronoi,fastscape,landlab,250,33.3572701317,39.999769853,42.698592134,0.133429080527
3,400000,voronoi,fastscape,landlab,250,29.6064598506,39.999602111,42.194765867,0.118425839402
4,500000,voronoi,fastscape,landlab,250,25.3854220984,39.999588632,42.417198428,0.101541688394
5,600000,voronoi,fastscape,landlab,250,21.0131932563,39.999651502,42.571865508,0.0840527730252
6,700000,voronoi,fastscape,landlab,250,16.7920021643,39.999705958,42.068307989,0.0671680086571
7,800000,voronoi,fastscape,landlab,250,12.9593522188,39.99866342,42.357858474,0.0518374088752
8,900000,voronoi,fastscape,landlab,250,9.67258966926,39.98483961,41.983649571,0.038690358677
9,1000000,voronoi,fastscape,landlab,250,6.995247146,39.910446894,41.095601724,0.027980988584
10,1100000,voronoi,fastscape,landlab,250,4.91415595742,39.554027081,40.13569383,0.0196566238297
11,1200000,voronoi,fastscape,landlab,250,3.36738055868,38.395180189,38.752643545,0.0134695222347
12,1300000,voronoi,fastscape,landlab,250,2.25990932619,35.14654391,36.434669781,0.00903963730474
13,1400000,voronoi,fastscape,landlab,250,1.48898365226,31.668304071,31.8656868,0.00595593460904
14,1500000,voronoi,fastscape,landlab,250,0.966834146381,26.562910257,27.092634294,0.00386733658552
15,1600000,voronoi,fastscape,landlab,250,0.621439979425,21.120207489,28.204349692,0.0024857599177
16,1700000,voronoi,fastscape,landlab,250,0.395163535193,16.005591265,26.976528259,0.00158065414077
17,1800000,voronoi,fastscape,landlab,250,0.248199667111,11.635400865,25.132884876,0.000992798668442
18,1900000,voronoi,fastscape,landlab,250,0.154182865794,8.161086227,22.518521501,0.000616731463174
19,2000000,voronoi,fastscape,landlab,250,0.0949198722437,5.54832404,20.477663043,0.000379679488974
20,2100000,voronoi,fastscape,landlab,250,0.0578310921412,4.915325623,26.177722747,0.000231324368565
